dataset,data_ids,n_valid_nsdgeneral_voxels,n_nan_nsdgeneral_voxels,mean_in_nsdgeneral,std_in_nsdgeneral,median_in_nsdgeneral
NSD mean,,,,0.2655153274536133,0.20388983190059662,0.23731260001659393
B5K,ncsnr_TYPEB_FITHRF_CSI1,17107,9,0.14382033050060272,0.1531510204076767,0.11371007561683655
B5K,ncsnr_TYPEB_FITHRF_CSI2,17461,20,0.1838635802268982,0.163271963596344,0.1906142383813858
B5K,ncsnr_TYPEB_FITHRF_CSI3,15941,13,0.0938233882188797,0.14171533286571503,0.0
B5K,ncsnr_TYPEB_FITHRF_CSI4,16693,14,0.12862344086170197,0.199014350771904,0.0
B5K mean,,,,0.13753268122673035,0.16428817808628082,0.07608108222484589
NSD,ncsnr_TYPEC_FITHRF_GLMDENOISE_subj01,29723,0,0.27454495429992676,0.20711059868335724,0.24405519664287567
NSD,ncsnr_TYPEC_FITHRF_GLMDENOISE_subj02,25620,35,0.284088671207428,0.22957317531108856,0.24133527278900146
NSD,ncsnr_TYPEC_FITHRF_GLMDENOISE_subj03,28009,24,0.2894333600997925,0.20792865753173828,0.25504252314567566
NSD,ncsnr_TYPEC_FITHRF_GLMDENOISE_subj04,23127,28,0.2627374827861786,0.1794680953025818,0.25214752554893494
NSD mean,,,,0.27770110964775085,0.20602013170719147,0.24814513325691223
B5K,ncsnr_TYPEC_FITHRF_GLMDENOISE_CSI1,17107,9,0.17277900874614716,0.16863790154457092,0.16442333161830902
B5K,ncsnr_TYPEC_FITHRF_GLMDENOISE_CSI2,17461,20,0.1525164246559143,0.16040939092636108,0.12588876485824585
B5K,ncsnr_TYPEC_FITHRF_GLMDENOISE_CSI3,15941,13,0.11754532903432846,0.16222460567951202,0.0
B5K,ncsnr_TYPEC_FITHRF_GLMDENOISE_CSI4,16693,14,0.16556701064109802,0.21779629588127136,0.0
B5K mean,,,,0.15210194885730743,0.17726704478263855,0.07257802784442902
NSD,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_subj01,29723,0,0.30212336778640747,0.2230907529592514,0.2706616222858429
NSD,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_subj02,25620,35,0.3167794346809387,0.2469315230846405,0.2682831883430481
NSD,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_subj03,28009,24,0.31142958998680115,0.22426201403141022,0.2755325436592102
NSD,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_subj04,23127,28,0.2490297257900238,0.20647382736206055,0.2250053733587265
NSD mean,,,,0.294840544462204,0.22518952190876007,0.2598706781864166
B5K,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_CSI1,17114,2,0.17303664982318878,0.1716974973678589,0.16165731847286224
B5K,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_CSI2,17469,12,0.17311421036720276,0.16072124242782593,0.17242684960365295
B5K,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_CSI3,15949,5,0.20537051558494568,0.17281894385814667,0.21618427336215973
B5K,ncsnr_TYPED_FITHRF_GLMDENOISE_RR_CSI4,16702,5,0.2268143594264984,0.23510576784610748,0.1960180550813675
B5K mean,,,,0.1945839524269104,0.18508586287498474,0.1865716129541397
NSD,ncpct_TYPEA_ASSUMEHRF_subj01,29723,0,15.892271041870117,15.171883583068848,12.17553424835205
NSD,ncpct_TYPEA_ASSUMEHRF_subj02,25620,35,15.289058685302734,13.9950532913208,12.245786666870117
NSD,ncpct_TYPEA_ASSUMEHRF_subj03,28009,24,14.976044654846191,12.55142593383789,12.907929420471191
NSD,ncpct_TYPEA_ASSUMEHRF_subj04,23127,28,15.609904289245605,12.37849235534668,14.026966094970703
NSD mean,,,,15.44182014465332,13.524213790893555,12.839054107666016
B5K,ncpct_TYPEA_ASSUMEHRF_CSI1,17107,9,11.88868236541748,13.85440444946289,6.168220520019531
B5K,ncpct_TYPEA_ASSUMEHRF_CSI2,17461,20,16.219911575317383,15.646344184875488,13.887611389160156
B5K,ncpct_TYPEA_ASSUMEHRF_CSI3,15941,13,8.733189582824707,13.265414237976074,0.0
B5K,ncpct_TYPEA_ASSUMEHRF_CSI4,16693,14,9.629441261291504,15.837786674499512,0.0
B5K mean,,,,11.617805480957031,14.65098762512207,5.013957977294922
NSD,ncpct_TYPEB_FITHRF_subj01,29723,0,19.21944236755371,18.695024490356445,13.883200645446777
NSD,ncpct_TYPEB_FITHRF_subj02,25620,35,19.939346313476562,19.63651466369629,13.932943344116211
NSD,ncpct_TYPEB_FITHRF_subj03,28009,24,19.684471130371094,17.672067642211914,15.06638240814209
NSD,ncpct_TYPEB_FITHRF_subj04,23127,28,17.557170867919922,15.16030502319336,14.940886497497559
NSD mean,,,,19.100109100341797,17.790977478027344,14.455853462219238
B5K,ncpct_TYPEB_FITHRF_CSI1,17107,9,12.003691673278809,14.51406478881836,4.917652130126953
B5K,ncpct_TYPEB_FITHRF_CSI2,17461,20,15.832286834716797,15.974467277526855,12.689311027526855
B5K,ncpct_TYPEB_FITHRF_CSI3,15941,13,7.780527114868164,13.098798751831055,0.0
B5K,ncpct_TYPEB_FITHRF_CSI4,16693,14,9.883427619934082,16.491661071777344,0.0
B5K mean,,,,11.374983787536621,15.01974868774414,4.401741027832031
NSD,ncpct_TYPEC_FITHRF_GLMDENOISE_subj01,29723,0,19.972610473632812,18.262693405151367,15.159966468811035
NSD,ncpct_TYPEC_FITHRF_GLMDENOISE_subj02,25620,35,20.65319061279297,19.69769859313965,14.873922348022461
NSD,ncpct_TYPEC_FITHRF_GLMDENOISE_subj03,28009,24,21.266155242919922,18.558292388916016,16.327800750732422
NSD,ncpct_TYPEC_FITHRF_GLMDENOISE_subj04,23127,28,18.72270965576172,15.758745193481445,16.018266677856445
NSD mean,,,,20.153667449951172,18.06935691833496,15.594989776611328
B5K,ncpct_TYPEC_FITHRF_GLMDENOISE_CSI1,17107,9,14.793502807617188,16.343185424804688,9.758705139160156
B5K,ncpct_TYPEC_FITHRF_GLMDENOISE_CSI2,17461,20,12.89507007598877,15.359548568725586,5.961294651031494
B5K,ncpct_TYPEC_FITHRF_GLMDENOISE_CSI3,15941,13,10.077574729919434,15.347939491271973,0.0
B5K,ncpct_TYPEC_FITHRF_GLMDENOISE_CSI4,16693,14,12.830394744873047,18.227088928222656,0.0
B5K mean,,,,12.64913558959961,16.319440841674805,3.929999828338623
NSD,ncpct_TYPED_FITHRF_GLMDENOISE_RR_subj01,29723,0,22.54825210571289,19.529491424560547,18.017541885375977
NSD,ncpct_TYPED_FITHRF_GLMDENOISE_RR_subj02,25620,35,23.63787841796875,21.126108169555664,17.75826072692871
NSD,ncpct_TYPED_FITHRF_GLMDENOISE_RR_subj03,28009,24,23.40550422668457,19.843297958374023,18.550495147705078
NSD,ncpct_TYPED_FITHRF_GLMDENOISE_RR_subj04,23127,28,17.82337188720703,17.72002601623535,13.18557071685791
NSD mean,,,,21.85375213623047,19.554731369018555,16.877967834472656
B5K,ncpct_TYPED_FITHRF_GLMDENOISE_RR_CSI1,17114,2,14.856501579284668,16.640911102294922,9.463947296142578
B5K,ncpct_TYPED_FITHRF_GLMDENOISE_RR_CSI2,17469,12,14.705329895019531,15.565876007080078,10.62843132019043
B5K,ncpct_TYPED_FITHRF_GLMDENOISE_RR_CSI3,15949,5,17.962549209594727,17.086721420288086,15.749924659729004
B5K,ncpct_TYPED_FITHRF_GLMDENOISE_RR_CSI4,16702,5,17.818878173828125,19.947351455688477,10.335552215576172
B5K mean,,,,16.3358154296875,17.31021499633789,11.544464111328125
NSD,reliability_TYPEA_ASSUMEHRF_subj01,29723,0,0.06274269560662048,0.0785527465378251,0.037213802337646484
NSD,reliability_TYPEA_ASSUMEHRF_subj02,25620,35,0.06061356968813854,0.06792762591735066,0.04119330272078514
